#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:file76a53e25eb4" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:file76a53e25eb4" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:file76a53e25eb4">
#                <taxonset id="TaxonSet.file76a53e25eb4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:file76a53e25eb4" name="distribution" x="@birthRate.t:file76a53e25eb4">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:file76a53e25eb4" name="distribution">
#            <parameter id="clockRate.c:file76a53e25eb4" name="x">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:file76a53e25eb4">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean">10.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma">0.01</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@file76a53e25eb4" id="treeLikelihood.file76a53e25eb4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:file76a53e25eb4">
#            <siteModel id="SiteModel.s:file76a53e25eb4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:file76a53e25eb4" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:file76a53e25eb4" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:file76a53e25eb4" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:file76a53e25eb4" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:file76a53e25eb4" id="StrictClock.c:file76a53e25eb4" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.file76a53e25eb4	TreeHeight	YuleModel	birthRate	monophyletic(auto_name_1)	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-478753.8453680418	-14.72268597694493	-478739.12268206483	-14.72268597694493	0.21488539615325541	-0.4698616434499401	1.0	0	-478738.6528204214	0.21488539615325541	1.0
1000	-25.53782882714344	-16.6355323334188	-8.902296493724638	-16.6355323334188	10.024294854958137	-9.63732825932338	0.24656135871208834	0	0.7350317655987433	10.024294854958137	1.270760561142399
2000	-22.944237990184455	-17.06677966534219	-5.877458324842268	-17.06677966534219	9.980194650128421	-7.60243055994748	0.23376219356179478	0	1.7249722351052126	9.980194650128421	0.8434055192515079
3000	-22.96611149268766	-16.635532172640726	-6.330579320046935	-16.635532172640726	9.982921869592236	-8.558498281707337	0.2037933017653572	0	2.227918961660402	9.982921869592236	1.0352451873334982
4000	-18.143960560962075	-15.109815427159397	-3.0341451338026775	-15.109815427159397	9.997756269045132	-6.695205143596928	0.10647093475739866	0	3.6610600097942503	9.997756269045132	0.5758886998904943
5000	-22.932802779647552	-16.635532333429712	-6.297270446217842	-16.635532333429712	9.997756269045132	-9.958330456012092	0.29189863277941847	0	3.6610600097942503	9.997756269045132	1.7698180172741387
6000	-21.946531920153028	-16.635532333438686	-5.310999586714344	-16.635532333438686	10.009854649170006	-8.511660688178306	0.20540204179664154	0	3.2006611014639623	10.009854649170006	4.484325953873362
7000	-20.27582923622241	-16.634928995893706	-3.640900240328705	-16.634928995893706	9.999048483973123	-7.322604979365106	0.20479372701765916	0	3.6817047390364004	9.999048483973123	13.107520402202
8000	-20.007173408893266	-16.635532333438686	-3.371641075454581	-16.635532333438686	10.00033931133925	-7.057297067313282	0.06308031210097059	0	3.685655991858701	10.00033931133925	6.481640939030112
9000	-20.180068195446584	-16.635532333438686	-3.5445358620078964	-16.635532333438686	9.990973718452006	-6.823398721873009	0.11420392850470536	0	3.278862859865113	9.990973718452006	16.525129336325804
10000	-20.139847543784306	-16.559336366588887	-3.5805111771954174	-16.559336366588887	9.990973718452006	-6.8593740370605305	0.15731028147586637	0	3.278862859865113	9.990973718452006	13.6216298829836
11000	-21.276227042103084	-16.63553233343869	-4.640694708664395	-16.63553233343869	10.01551599742588	-7.123195480848334	0.13250002002490732	0	2.4825007721839394	10.01551599742588	6.866201196040379
12000	-21.3463729736482	-16.635532333438686	-4.710840640209517	-16.635532333438686	9.997191577024857	-8.357636094956385	0.1697566660475082	0	3.646795454746868	9.997191577024857	1.664440503945001
13000	-21.319637910874782	-16.63397254499189	-4.68566536588289	-16.63397254499189	9.997191577024857	-8.332460820629759	0.2600337523295468	0	3.646795454746868	9.997191577024857	1.7419262965231928
14000	-19.85363268183316	-16.508812270439183	-3.344820411393978	-16.508812270439183	10.00653788043573	-6.817332661217927	0.11582508423500283	0	3.472512249823949	10.00653788043573	0.9513676035567584
