#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:alignment">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-214.60396030760518	-208.16958521500493	-6.43437509260026	-208.16958521500493	3.120972966833765	-6.43437509260026	1.0
1000	-181.71484191367173	-180.55913811540117	-1.1557037982705791	-180.55913811540117	0.4349518033761195	-1.1557037982705791	1.1113876956786097
2000	-183.04558484316712	-181.36111805276087	-1.6844667904062478	-181.36111805276087	0.572329437890096	-1.6844667904062478	1.045905352069173
3000	-186.20204310726461	-185.42686081695282	-0.775182290311784	-185.42686081695282	0.4675265172024201	-0.775182290311784	3.196673801368886
4000	-186.54751325716262	-184.42228205882247	-2.125231198340141	-184.42228205882247	0.695559752517247	-2.125231198340141	1.110671370423408
5000	-181.86452404574393	-181.8250578369744	-0.039466208769553424	-181.8250578369744	0.35850018160796365	-0.039466208769553424	2.410595623427414
6000	-183.35241109089705	-181.63167262112825	-1.7207384697688097	-181.63167262112825	0.48728478549824755	-1.7207384697688097	3.5771673163899966
7000	-182.54656483153556	-181.89845253506456	-0.6481122964709858	-181.89845253506456	0.31207926434806343	-0.6481122964709858	5.314585741030046
8000	-181.93796759888116	-181.50726797787945	-0.43069962100169956	-181.50726797787945	0.3284294512003768	-0.43069962100169956	5.164564514082968
9000	-185.28329059628646	-181.8503564185005	-3.4329341777859588	-181.8503564185005	0.42856155819557734	-3.4329341777859588	7.206875467010198
10000	-182.0489096605023	-180.95837380321274	-1.090535857289542	-180.95837380321274	0.41174925726030787	-1.090535857289542	3.8113181484389487
11000	-185.23744864121807	-184.3434484214492	-0.894000219768857	-184.3434484214492	0.5239160896627125	-0.894000219768857	2.5689700142026686
12000	-185.61681272445142	-183.37772173116002	-2.2390909932914083	-183.37772173116002	0.6653043340088016	-2.2390909932914083	2.4683598005366214
13000	-182.69125506602924	-181.56001474900944	-1.1312403170198149	-181.56001474900944	0.5036829228943356	-1.1312403170198149	2.74011725473986
14000	-183.48727487453505	-181.5055718792197	-1.981702995315345	-181.5055718792197	0.5190186121015734	-1.981702995315345	4.66072286026493
15000	-183.34599462325127	-183.07651979652607	-0.2694748267252025	-183.07651979652607	0.39510316118221567	-0.2694748267252025	2.3196687049983025
16000	-182.27061025138488	-182.6440642148251	0.3734539634402365	-182.6440642148251	0.2964916371772766	0.3734539634402365	3.0664964811649558
17000	-186.73444268198912	-184.72528541734394	-2.009157264645171	-184.72528541734394	0.6111215310823176	-2.009157264645171	2.1110635736016596
18000	-185.4805653955966	-183.73291229853666	-1.7476530970599415	-183.73291229853666	0.4991518559263226	-1.7476530970599415	0.8231463655497716
19000	-184.6664133648522	-183.90065171610655	-0.7657616487456491	-183.90065171610655	0.4511365327634441	-0.7657616487456491	2.637911488181417
20000	-181.67600085215372	-181.0661402623041	-0.6098605898496252	-181.0661402623041	0.3948193865317534	-0.6098605898496252	2.0340214744649376
21000	-183.18820360284815	-183.38857054307607	0.2003669402279351	-183.38857054307607	0.3183363134715485	0.2003669402279351	2.5230013252309447
22000	-186.64659512377855	-184.16851578293176	-2.478079340846798	-184.16851578293176	0.6196247202389443	-2.478079340846798	0.6076069949774372
23000	-183.66786599703792	-182.15891470594596	-1.5089512910919538	-182.15891470594596	0.5350531707836753	-1.5089512910919538	0.9679826711667111
24000	-181.76218693276923	-181.33496359738052	-0.42722333538870294	-181.33496359738052	0.3415305527786948	-0.42722333538870294	1.5342437928238137
25000	-184.38262049024254	-182.05357516127617	-2.3290453289663784	-182.05357516127617	0.5811153318506068	-2.3290453289663784	4.430008222563102
26000	-181.25455396697518	-180.8439921043134	-0.41056186266177175	-180.8439921043134	0.41476127406903474	-0.41056186266177175	2.19775965969636
27000	-182.3810956319768	-181.81023224003383	-0.5708633919429675	-181.81023224003383	0.4000549071536483	-0.5708633919429675	2.1944517251465516
28000	-181.7513370138657	-181.46231833012314	-0.2890186837425768	-181.46231833012314	0.36905743407998415	-0.2890186837425768	3.1409240578260955
29000	-182.4619463342911	-181.67448122953212	-0.787465104758974	-181.67448122953212	0.391908196739575	-0.787465104758974	3.9311787746564293
30000	-183.7456781680942	-181.725499069723	-2.020179098371185	-181.725499069723	0.4032971704315954	-2.020179098371185	5.798978196180599
31000	-182.6962035007773	-182.42577694604591	-0.2704265547313853	-182.42577694604591	0.2806299802103214	-0.2704265547313853	5.644931126733063
32000	-182.18924669811574	-181.24595374220488	-0.9432929559108699	-181.24595374220488	0.45458157457241355	-0.9432929559108699	1.9614775658482093
33000	-182.85466208733533	-183.3032932699213	0.4486311825859832	-183.3032932699213	0.28513158900571134	0.4486311825859832	3.200926946066232
34000	-182.09213252553587	-180.88587273048924	-1.2062597950466238	-180.88587273048924	0.5521073169994622	-1.2062597950466238	2.4492999238563242
35000	-185.32496427390342	-184.2119082487407	-1.113056025162718	-184.2119082487407	0.5532869666341095	-1.113056025162718	2.3857417539243793
36000	-182.00126276930942	-181.10101808762602	-0.9002446816834113	-181.10101808762602	0.40815065957355945	-0.9002446816834113	3.432743741383686
37000	-181.60914367442547	-181.52424772123035	-0.08489595319510967	-181.52424772123035	0.3447142446654336	-0.08489595319510967	2.088745601906212
38000	-182.84076357298213	-181.95384960700665	-0.8869139659754846	-181.95384960700665	0.5123404315456027	-0.8869139659754846	2.23268722569653
39000	-181.57381750340906	-180.66276836549494	-0.9110491379141068	-180.66276836549494	0.4638523561026329	-0.9110491379141068	2.247930652315683
40000	-182.5015401503713	-182.28240772788405	-0.21913242248727194	-182.28240772788405	0.29494889533015	-0.21913242248727194	4.674793544118028
41000	-181.93060981685406	-180.96100340153635	-0.9696064153177087	-180.96100340153635	0.4657275450463082	-0.9696064153177087	1.8250401596202592
42000	-182.82716324640234	-181.42970626497603	-1.3974569814262883	-181.42970626497603	0.40131604260049836	-1.3974569814262883	4.4491225770898986
43000	-181.98376633522233	-181.292284927913	-0.6914814073093316	-181.292284927913	0.4974833895840721	-0.6914814073093316	2.2683132257860565
44000	-184.25027509757732	-182.97228247427952	-1.2779926232977972	-182.97228247427952	0.42120575441898334	-1.2779926232977972	5.1030152402240745
45000	-181.68123217786373	-180.50048517236868	-1.1807470054950524	-180.50048517236868	0.4505344526051355	-1.1807470054950524	1.1245539471779173
46000	-182.8749313206758	-183.38853950403433	0.5136081833585124	-183.38853950403433	0.30370043931134105	0.5136081833585124	2.5148212343586955
47000	-180.98786701557174	-180.75120575659002	-0.23666125898170454	-180.75120575659002	0.38947748709816327	-0.23666125898170454	2.6591391078166335
48000	-183.1175011101581	-182.26658852395667	-0.8509125862014273	-182.26658852395667	0.38548923664828055	-0.8509125862014273	3.0908534748931205
49000	-183.24193583316637	-183.34463310579923	0.10269727263287143	-183.34463310579923	0.33778184680522017	0.10269727263287143	2.052522564897541
50000	-182.37257772216236	-181.3526297553759	-1.019947966786467	-181.3526297553759	0.4805110377014706	-1.019947966786467	1.9005354970875055
51000	-183.12907156870205	-181.79750506075203	-1.3315665079500079	-181.79750506075203	0.45038882153654497	-1.3315665079500079	2.930808248912612
52000	-182.76802030992633	-181.70873313447612	-1.0592871754502173	-181.70873313447612	0.4528363619785043	-1.0592871754502173	1.5674428362257382
53000	-184.1770899884627	-182.1012723976052	-2.075817590857519	-182.1012723976052	0.6406411058699012	-2.075817590857519	0.789236385256876
54000	-181.979922456835	-180.90243191714572	-1.0774905396892906	-180.90243191714572	0.46230492709073007	-1.0774905396892906	1.314155636376736
55000	-183.0810726015502	-180.83065399786648	-2.2504186036837144	-180.83065399786648	0.47018814828136773	-2.2504186036837144	5.336924476980083
56000	-188.29782044198387	-186.49173625107335	-1.806084190910518	-186.49173625107335	0.6608467751112718	-1.806084190910518	2.0720004341288436
57000	-181.71214743651038	-181.08781266077497	-0.624334775735398	-181.08781266077497	0.37667511446297286	-0.624334775735398	1.5754070183237812
58000	-182.51770366194432	-181.81914107248159	-0.6985625894627379	-181.81914107248159	0.40806556232192664	-0.6985625894627379	1.4222838194114213
59000	-183.7951682322063	-181.17572683750268	-2.6194413947036135	-181.17572683750268	0.5289798703475571	-2.6194413947036135	5.051499466969358
60000	-181.57070011227276	-181.21233592355608	-0.3583641887166753	-181.21233592355608	0.3717997627994058	-0.3583641887166753	1.8877132340067395
61000	-184.77158201584106	-182.79004015193647	-1.9815418639045888	-182.79004015193647	0.32013204249402977	-1.9815418639045888	7.3020850100100825
62000	-186.01973244135493	-182.17094489641758	-3.84878754493735	-182.17094489641758	0.4030802176541222	-3.84878754493735	7.520895630406341
63000	-181.6712028452196	-181.2578523889113	-0.4133504563082968	-181.2578523889113	0.4114637891035025	-0.4133504563082968	3.345375135316997
64000	-183.0821381482337	-180.99105398294847	-2.091084165285215	-180.99105398294847	0.3790231719165993	-2.091084165285215	0.6561590224555898
65000	-183.72402159935643	-181.97955764218344	-1.7444639571730087	-181.97955764218344	0.49603261200623333	-1.7444639571730087	3.0592135931021742
66000	-182.40044927458794	-181.02113064924544	-1.37931862534252	-181.02113064924544	0.5448787734482738	-1.37931862534252	2.7290467918031514
67000	-182.09808479584157	-181.1960835062171	-0.9020012896244742	-181.1960835062171	0.4846063182391792	-0.9020012896244742	2.288256362207069
68000	-183.84611927560653	-182.36683594470503	-1.4792833309014952	-182.36683594470503	0.5236312038470117	-1.4792833309014952	1.2213550641361992
69000	-182.20452573009987	-180.978550250038	-1.2259754800618745	-180.978550250038	0.5193889364960677	-1.2259754800618745	2.204599130636962
70000	-185.84873727788795	-183.69241666517468	-2.156320612713272	-183.69241666517468	0.8244301875838485	-2.156320612713272	1.5041115116801367
71000	-182.68357488804946	-182.00770202527718	-0.6758728627722723	-182.00770202527718	0.33444481629330347	-0.6758728627722723	5.955368997309217
72000	-181.78136316356463	-180.933450387816	-0.8479127757486289	-180.933450387816	0.3691149646989915	-0.8479127757486289	4.95691963394874
73000	-184.49649106072334	-183.2063615377961	-1.2901295229272418	-183.2063615377961	0.36308759337286317	-1.2901295229272418	0.9190687070861469
74000	-181.9090682834183	-181.72380280140874	-0.18526548200954918	-181.72380280140874	0.38219493370133867	-0.18526548200954918	2.469345333525682
75000	-183.45762447046388	-183.07526870021414	-0.38235577024974754	-183.07526870021414	0.342416247347131	-0.38235577024974754	5.459073912883434
76000	-182.90708630967356	-181.52523657313537	-1.381849736538199	-181.52523657313537	0.5172241184506177	-1.381849736538199	2.529327876204368
77000	-184.55103946515732	-181.75656608985005	-2.7944733753072617	-181.75656608985005	0.6003673424540834	-2.7944733753072617	4.512874483757897
78000	-182.1176120388612	-181.3758941927846	-0.7417178460765913	-181.3758941927846	0.4562642746406474	-0.7417178460765913	1.7987379433255244
79000	-184.1065590740406	-183.51616474367432	-0.5903943303662711	-183.51616474367432	0.42034233204359905	-0.5903943303662711	3.387323256665098
80000	-183.36663552523086	-182.7542123042556	-0.612423220975278	-182.7542123042556	0.48073907023563545	-0.612423220975278	2.5266554985508107
81000	-185.14976874160615	-182.9140241698711	-2.2357445717350375	-182.9140241698711	0.6400499975466437	-2.2357445717350375	0.7651283774856239
82000	-182.74890517027768	-181.2970554159414	-1.4518497543362803	-181.2970554159414	0.6101145674474568	-1.4518497543362803	2.3430576356207022
83000	-183.4904811278257	-182.24499524721486	-1.245485880610832	-182.24499524721486	0.6331218750370835	-1.245485880610832	1.8520277234194082
84000	-182.63172914923848	-182.18762109483288	-0.44410805440560286	-182.18762109483288	0.3911342775314951	-0.44410805440560286	1.8296144136502268
85000	-183.2703414496914	-181.4811147545524	-1.7892266951389733	-181.4811147545524	0.4323453696991375	-1.7892266951389733	4.653363530173409
86000	-183.50253627942445	-182.62303336886873	-0.8795029105557233	-182.62303336886873	0.30925001625978515	-0.8795029105557233	1.0679442464660014
87000	-181.78622305687665	-180.95362821178225	-0.832594845094409	-180.95362821178225	0.3574164712701768	-0.832594845094409	4.654736485376961
88000	-181.8126809583917	-180.59080830582488	-1.2218726525668182	-180.59080830582488	0.45590442723163854	-1.2218726525668182	3.8198094505367703
89000	-181.98852889482725	-181.30120993086476	-0.6873189639624862	-181.30120993086476	0.36468512092797367	-0.6873189639624862	3.504548079587401
90000	-182.7443282634256	-181.42575880438488	-1.318569459040695	-181.42575880438488	0.4470579875732035	-1.318569459040695	1.117913752902859
91000	-183.46698716282359	-181.9216518766987	-1.5453352861249077	-181.9216518766987	0.5228981417858971	-1.5453352861249077	2.8617111522338345
92000	-181.83000201664063	-181.68476810273418	-0.14523391390645646	-181.68476810273418	0.32840682173488284	-0.14523391390645646	3.7749505811171
93000	-182.68079320343315	-182.19063081653042	-0.49016238690273806	-182.19063081653042	0.3928951450396182	-0.49016238690273806	3.707929639475747
94000	-185.1963442386045	-182.72958114688475	-2.466763091719743	-182.72958114688475	0.7422454032767056	-2.466763091719743	2.5000524984288734
95000	-182.76249722461523	-181.53228589913698	-1.23021132547824	-181.53228589913698	0.4816371137606369	-1.23021132547824	1.4057730334913727
96000	-181.66629611811754	-180.99249792994388	-0.6737981881736608	-180.99249792994388	0.4045928716771818	-0.6737981881736608	3.018052244030911
97000	-189.7687916002436	-187.27316602598583	-2.4956255742577573	-187.27316602598583	0.9050196866075628	-2.4956255742577573	1.1308902918790602
98000	-182.14368409578134	-181.26463450195635	-0.8790495938249852	-181.26463450195635	0.5068491563973081	-0.8790495938249852	1.5303899644551275
99000	-182.64027358802193	-182.28762007489553	-0.3526535131264077	-182.28762007489553	0.3304419839259991	-0.3526535131264077	3.8089417962238103
100000	-182.44481788217126	-181.7150199163507	-0.7297979658205492	-181.7150199163507	0.3956886452427687	-0.7297979658205492	1.8628132946192164
101000	-181.76910833521276	-181.15772046176897	-0.611387873443796	-181.15772046176897	0.3768223603822917	-0.611387873443796	1.562401126545832
102000	-182.60419743956925	-182.0580749678456	-0.5461224717236424	-182.0580749678456	0.31537837784142353	-0.5461224717236424	4.461643607784189
103000	-183.46028324227967	-183.05894051190202	-0.4013427303776387	-183.05894051190202	0.3869136779675843	-0.4013427303776387	2.8192473063219134
104000	-182.07201345272966	-180.93710350340376	-1.134909949325911	-180.93710350340376	0.5440098726681265	-1.134909949325911	2.587116324041286
105000	-182.98534363400591	-181.07226009943085	-1.9130835345750539	-181.07226009943085	0.5698729244173203	-1.9130835345750539	3.2787496404485643
106000	-182.7245669693007	-180.63701220869058	-2.0875547606101166	-180.63701220869058	0.49562985675571375	-2.0875547606101166	0.7207587937401605
107000	-182.19478112990052	-181.34742984846696	-0.8473512814335571	-181.34742984846696	0.47315255243806226	-0.8473512814335571	2.6701815539218274
108000	-183.80381507486968	-182.23127797954285	-1.5725370953268238	-182.23127797954285	0.5770093455542366	-1.5725370953268238	1.0616513346403373
109000	-183.51228879205573	-181.3338072055651	-2.178481586490615	-181.3338072055651	0.5802168155314168	-2.178481586490615	0.7075594934282866
110000	-184.63877352791724	-183.58852948445184	-1.050244043465404	-183.58852948445184	0.4029576613271865	-1.050244043465404	4.7391758943981275
111000	-184.56368113172815	-183.0753740288359	-1.4883071028922283	-183.0753740288359	0.479316191343358	-1.4883071028922283	2.581076668937773
112000	-183.67978792994938	-182.20543522547416	-1.4743527044752138	-182.20543522547416	0.538383061684325	-1.4743527044752138	1.5329940714873556
113000	-182.76353769358806	-181.13761113728447	-1.625926556303597	-181.13761113728447	0.5398753956257393	-1.625926556303597	2.8511379536887507
114000	-182.06573101999288	-181.14010615242708	-0.9256248675658125	-181.14010615242708	0.43532004854406	-0.9256248675658125	3.241377436621343
115000	-183.9542730816568	-180.70340977774066	-3.2508633039161356	-180.70340977774066	0.4189546859605553	-3.2508633039161356	6.633184638860394
116000	-182.5287250365801	-181.79271814327691	-0.7360068933032018	-181.79271814327691	0.4726708665735123	-0.7360068933032018	1.7349163060639947
117000	-183.94515873556634	-182.46804304003078	-1.4771156955355538	-182.46804304003078	0.42501067189712244	-1.4771156955355538	3.2941995755603117
118000	-182.04964760794084	-181.47278577184588	-0.5768618360949684	-181.47278577184588	0.37116425864629604	-0.5768618360949684	3.954382817641715
119000	-183.70465793623322	-182.5836299293389	-1.1210280068943153	-182.5836299293389	0.4558758922794562	-1.1210280068943153	4.191298004294105
120000	-182.17074205265703	-180.51743555794525	-1.653306494711789	-180.51743555794525	0.42388602381818885	-1.653306494711789	5.036208523565628
121000	-180.956992541421	-180.75772305738133	-0.1992694840396667	-180.75772305738133	0.3793567113877685	-0.1992694840396667	2.5071924600585613
122000	-185.85123788637392	-181.40993187605335	-4.441306010320583	-181.40993187605335	0.43479878460900523	-4.441306010320583	0.25723517729327694
123000	-184.03128759526678	-182.76128558638288	-1.270002008883897	-182.76128558638288	0.528944591053772	-1.270002008883897	1.3012663441127326
124000	-181.7196421043382	-181.11168218443552	-0.6079599199026644	-181.11168218443552	0.4511411325004005	-0.6079599199026644	2.2131085573984035
125000	-182.7006954615101	-182.4366211676165	-0.2640742938935966	-182.4366211676165	0.2896122180849577	-0.2640742938935966	1.4284109864610648
126000	-187.25687747194812	-184.55866963774227	-2.6982078342058533	-184.55866963774227	0.5110597573919438	-2.6982078342058533	6.437045305207146
127000	-181.45902490785218	-181.07422764041027	-0.3847972674419189	-181.07422764041027	0.3548123912916304	-0.3847972674419189	1.7846408961698257
128000	-183.03146435522223	-181.44575207376624	-1.5857122814559703	-181.44575207376624	0.5807703774472662	-1.5857122814559703	0.9986343249563284
129000	-181.70510330411562	-181.00269283958522	-0.7024104645303939	-181.00269283958522	0.45541154533726136	-0.7024104645303939	2.28057388927311
130000	-182.530725728186	-181.17732641865473	-1.3533993095312964	-181.17732641865473	0.3715018018186649	-1.3533993095312964	0.8925311921554224
131000	-187.06044357552477	-187.59418320940267	0.5337396338778913	-187.59418320940267	0.24466188456992286	0.5337396338778913	2.6970472409299724
132000	-183.4876046266083	-182.83529344138302	-0.6523111852252756	-182.83529344138302	0.4529718184332045	-0.6523111852252756	3.9820810286369253
133000	-182.26703046701112	-181.06770208912275	-1.19932837788839	-181.06770208912275	0.5080500778232165	-1.19932837788839	1.537979458019793
